Acanthis flammea
Accipiter nisus
Acrocephalus arundinaceus
Acrocephalus dumetorum
Acrocephalus palustris
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Actitis hypoleucos
Aegithalos caudatus
Aix galericulata
Alauda arvensis
Alca torda
Alopochen aegyptiaca
Anas acuta
Anas crecca
Anas platyrhynchos
Anser albifrons
Anser anser
Anser brachyrhynchus
Anthus petrosus
Anthus pratensis
Anthus spinoletta
Anthus trivialis
Apus apus
Aquila chrysaetos
Ardea cinerea
Asio flammeus
Asio otus
Athene noctua
Aythya ferina
Aythya fuligula
Bombycilla garrulus
Botaurus stellaris
Branta bernicla
Branta canadensis
Branta leucopsis
Branta ruficollis
Buteo buteo
Calidris alpina
Calidris melanotos
Caprimulgus europaeus
Carduelis carduelis
Carpodacus erythrinus
Cepphus grylle
Certhia familiaris
Cettia cetti
Charadrius dubius
Charadrius hiaticula
Chloris chloris
Chroicocephalus ridibundus
Chrysolophus amherstiae
Cinclus cinclus
Circus aeruginosus
Coccothraustes coccothraustes
Coloeus monedula
Columba livia
Columba oenas
Columba palumbus
Corvus corax
Corvus corone
Corvus frugilegus
Coturnix coturnix
Crex crex
Cuculus canorus
Curruca cantillans
Curruca communis
Curruca conspicillata
Curruca curruca
Curruca iberiae
Curruca subalpina
Curruca undata
Cyanistes caeruleus
Cygnus columbianus
Cygnus cygnus
Cygnus olor
Delichon urbicum
Dendrocopos major
Dryobates minor
Dryocopus martius
Egretta garzetta
Emberiza calandra
Emberiza citrinella
Emberiza schoeniclus
Erithacus rubecula
Falco peregrinus
Falco subbuteo
Falco tinnunculus
Ficedula hypoleuca
Fringilla coelebs
Fringilla montifringilla
Fulica atra
Fulmarus glacialis
Gallinago gallinago
Gallinula chloropus
Garrulus glandarius
Gavia stellata
Grus grus
Haematopus ostralegus
Hirundo rustica
Hydrobates pelagicus
Ichthyaetus melanocephalus
Iduna pallida
Jynx torquilla
Lagopus lagopus
Larus argentatus
Larus canus
Larus fuscus
Limosa limosa
Linaria cannabina
Locustella fluviatilis
Locustella luscinioides
Locustella naevia
Lophophanes cristatus
Loxia curvirostra
Loxia leucoptera
Loxia pytyopsittacus
Lullula arborea
Luscinia megarhynchos
Luscinia svecica
Lyrurus tetrix
Mareca penelope
Mareca strepera
Mergellus albellus
Mergus serrator
Merops apiaster
Milvus milvus
Morus bassanus
Motacilla alba
Motacilla cinerea
Motacilla citreola
Motacilla flava
Muscicapa striata
Netta rufina
Numenius arquata
Numenius phaeopus
Oenanthe oenanthe
Oriolus oriolus
Oxyura jamaicensis
Panurus biarmicus
Parus major
Passer domesticus
Passer montanus
Perdix perdix
Periparus ater
Pernis apivorus
Phalaropus lobatus
Phasianus colchicus
Phoenicurus phoenicurus
Phylloscopus bonelli
Phylloscopus borealis
Phylloscopus collybita
Phylloscopus fuscatus
Phylloscopus inornatus
Phylloscopus proregulus
Phylloscopus sibilatrix
Phylloscopus trochilus
Pica pica
Picus viridis
Pluvialis apricaria
Pluvialis squatarola
Podiceps cristatus
Poecile montanus
Poecile palustris
Porzana porzana
Prunella modularis
Psittacula krameri
Puffinus puffinus
Pyrrhula pyrrhula
Rallus aquaticus
Recurvirostra avosetta
Regulus ignicapilla
Regulus regulus
Riparia riparia
Rissa tridactyla
Saxicola rubetra
Saxicola rubicola
Scolopax rusticola
Serinus serinus
Sitta europaea
Somateria mollissima
Spatula clypeata
Spinus spinus
Stercorarius parasiticus
Stercorarius skua
Sterna dougallii
Sterna hirundo
Sterna paradisaea
Sternula albifrons
Streptopelia decaocto
Streptopelia turtur
Strix aluco
Sturnus vulgaris
Sylvia atricapilla
Sylvia borin
Tachybaptus ruficollis
Tadorna tadorna
Thalasseus sandvicensis
Tringa glareola
Tringa nebularia
Tringa ochropus
Tringa totanus
Troglodytes troglodytes
Turdus iliacus
Turdus merula
Turdus philomelos
Turdus pilaris
Turdus torquatus
Turdus viscivorus
Tyto alba
Uria aalge
Vanellus vanellus
Xema sabini
Zapornia pusilla
Anthus campestris
Bubo bubo
Alcedoatthis
Falco columbarius
Charadrius alexandrinus
