Coturnix coturnix
Alectoris chukar
Anas platyrhynchos
Tachybaptus ruficollis
Columba livia
Streptopelia decaocto
Apus pallidus
Apus apus
Porphyrio alleni
Gallinula chloropus
Fulica atra
Hydrobates pelagicus
Calonectris diomedea
Puffinus yelkouan
Egretta garzetta
Himantopus himantopus
Charadrius dubius
Larus michahellis
Tyto alba
Merops apiaster
Falco tinnunculus
Falco peregrinus
Calandrella brachydactyla
Cisticola juncidis
Acrocephalus scirpaceus
Delichon urbicum
Hirundo rustica
Cettia cetti
Sylvia melanocephala
Sylvia conspicillata
Sturnus vulgaris
Monticola solitarius
Passer hispaniolensis
Passer montanus
Motacilla cinerea
Fringilla coelebs
Chloris chloris
Serinus serinus
Emberiza calandra
