Name
Branta ruficollis
Larus glaucoides
Puffinus baroli
Curruca ruppeli
Curruca melanothorax
Stercorarius skua
Curruca balearica
Oenanthe melanoleuca
Ichthyaetus audouinii
Emberiza leucocephalos
Cuculus optatus
Muscicapa tyrrhenica
Phylloscopus schwarzi
Phylloscopus proregulus
Curruca crassirostris
Acrocephalus baeticatus
Curruca sarda
Curruca iberiae
Calidris ferruginea
Phylloscopus fuscatus
Curruca subalpina
Curruca conspicillata
Charadrius morinellus
Chroicocephalus genei
Curruca hortensis
Ichthyaetus melanocephalus
Phylloscopus humei
Tetrastes bonasia
Curruca undata
Curruca nisoria
Curruca cantillans
Dendrocoptes medius
Saxicola rubicola
Chroicocephalus ridibundus
Coloeus monedula
Curruca melanocephala
Luscinia svecica
Curruca curruca
Curruca communis
Noise
