Podiceps cristatus,GreatCrestedGrebe
Phalacrocorax carbo,GreatCormorant
Ardea cinerea,GreyHeron
Cygnus olor,MuteSwan
Anser albifrons,GreaterWhite-frontedGoose
Anser anser,GreylagGoose
Branta canadensis,CanadaGoose
Branta leucopsis,BarnacleGoose
Alopochen aegyptiaca,EgyptianGoose
Tadorna tadorna,CommonShelduck
Mareca penelope,EurasianWigeon
Mareca strepera,Gadwall
Anas crecca,EurasianTeal
Anas platyrhynchos,Mallard
Aythya fuligula,TuftedDuck
Accipiter nisus,EurasianSparrowhawk
Buteo buteo,CommonBuzzard
Falco tinnunculus,CommonKestrel
Phasianus colchicus,CommonPheasant
Gallinula chloropus,CommonMoorhen
Fulica atra,EurasianCoot
Haematopus ostralegus,EurasianOystercatcher
Vanellus vanellus,NorthernLapwing
Chroicocephalus ridibundus,Black-headedGull
Larus canus,CommonGull
Larus fuscus,LesserBlack-backedGull
Larus argentatus,EuropeanHerringGull
Columba livia,RockDove
Columba oenas,StockDove
Columba palumbus,CommonWoodPigeon
Streptopelia decaocto,EurasianCollaredDove
Psittacula krameri,Rose-ringedParakeet
Apus apus,CommonSwift
Dendrocopos major,GreatSpottedWoodpecker
Alauda arvensis,EurasianSkylark
Hirundo rustica,BarnSwallow
Delichon urbicum,CommonHouseMartin
Anthus trivialis,TreePipit
Anthus pratensis,MeadowPipit
Motacilla flava,WesternYellowWagtail
Troglodytes troglodytes,EurasianWren
Prunella modularis,Dunnock
Erithacus rubecula,EuropeanRobin
Turdus merula,CommonBlackbird
Turdus pilaris,Fieldfare
Turdus philomelos,SongThrush
Turdus iliacus,Redwing
Acrocephalus palustris,MarshWarbler
Acrocephalus scirpaceus,EurasianReedWarbler
Curruca communis,CommonWhitethroat
Sylvia borin,GardenWarbler
Sylvia atricapilla,EurasianBlackcap
Phylloscopus collybita,CommonChiffchaff
Phylloscopus trochilus,WillowWarbler
Regulus regulus,Goldcrest
Periparus ater,CoalTit
Cyanistes caeruleus,EurasianBlueTit
Parus major,GreatTit
Sitta europaea,EurasianNuthatch
Certhia brachydactyla,Short-toedTreecreeper
Garrulus glandarius,EurasianJay
