Coturnix coturnix
Alectoris chukar
Francolinus francolinus
Netta rufina
Aythya nyroca
Spatula querquedula
Spatula clypeata
Anas platyrhynchos
Tachybaptus ruficollis
Columba livia
Columba palumbus
Streptopelia turtur
Streptopelia decaocto
Spilopelia senegalensis
Caprimulgus europaeus
Tachymarptis melba
Apus pallidus
Apus apus
Clamator glandarius
Cuculus canorus
Rallus aquaticus
Gallinula chloropus
Fulica atra
Plegadis falcinellus
Ixobrychus minutus
Nycticorax nycticorax
Ardeola ralloides
Bubulcus ibis
Egretta garzetta
Gulosus aristotelis
Burhinus oedicnemus
Himantopus himantopus
Charadrius dubius
Charadrius alexandrinus
Vanellus spinosus
Glareola pratincola
Larus michahellis
Sternula albifrons
Tyto alba
Athene noctua
Otus cyprius
Asio otus
Aquila fasciata
Accipiter nisus
Accipiter gentilis
Buteo rufinus
Upupa epops
Merops apiaster
Coracias garrulus
Falco tinnunculus
Falco eleonorae
Falco peregrinus
Oriolus oriolus
Lanius senator
Lanius nubicus
Garrulus glandarius
Pica pica
Coloeus monedula
Corvus corone
Periparus ater
Parus major
Melanocorypha calandra
Lullula arborea
Galerida cristata
Cisticola juncidis
Iduna pallida
Acrocephalus scirpaceus
Acrocephalus arundinaceus
Delichon urbicum
Cecropis daurica
Hirundo rustica
Ptyonoprogne rupestris
Cettia cetti
Curruca melanothorax
Curruca melanocephala
Curruca conspicillata
Certhia brachydactyla
Troglodytes troglodytes
Turdus merula
Muscicapa striata
Luscinia megarhynchos
Monticola solitarius
Oenanthe cypriaca
Passer domesticus
Passer hispaniolensis
Motacilla flava
Fringilla coelebs
Chloris chloris
Linaria cannabina
Carduelis carduelis
Serinus serinus
Emberiza melanocephala
Emberiza calandra
Emberiza caesia
