Podiceps cristatus_Great Crested Grebe
Phalacrocorax carbo_Great Cormorant
Ardea cinerea_Grey Heron
Cygnus olor_Mute Swan
Anser albifrons_Greater White-fronted Goose
Anser anser_Greylag Goose
Branta canadensis_Canada Goose
Branta leucopsis_Barnacle Goose
Alopochen aegyptiaca_Egyptian Goose
Tadorna tadorna_Common Shelduck
Mareca penelope_Eurasian Wigeon
Mareca strepera_Gadwall
Anas crecca_Eurasian Teal
Anas platyrhynchos_Mallard
Aythya fuligula_Tufted Duck
Accipiter nisus_Eurasian Sparrowhawk
Buteo buteo_Common Buzzard
Falco tinnunculus_Common Kestrel
Phasianus colchicus_Common Pheasant
Gallinula chloropus_Common Moorhen
Fulica atra_Eurasian Coot
Haematopus ostralegus_Eurasian Oystercatcher
Vanellus vanellus_Northern Lapwing
Chroicocephalus ridibundus_Black-headed Gull
Larus canus_Mew Gull
Larus fuscus_Lesser Black-backed Gull
Larus argentatus_European Herring Gull
Columba livia_Rock Dove
Columba oenas_Stock Dove
Columba palumbus_Common Wood Pigeon
Streptopelia decaocto_Eurasian Collared Dove
Psittacula krameri_Rose-ringed Parakeet
Apus apus_Common Swift
Dendrocopos major_Great Spotted Woodpecker
Alauda arvensis_Eurasian Skylark
Hirundo rustica_Barn Swallow
Delichon urbicum_Common House Martin
Anthus trivialis_Tree Pipit
Anthus pratensis_Meadow Pipit
Motacilla flava_Western Yellow Wagtail
Troglodytes troglodytes_Eurasian Wren
Prunella modularis_Dunnock
Erithacus rubecula_European Robin
Turdus merula_Common Blackbird
Turdus pilaris_Fieldfare
Turdus philomelos_Song Thrush
Turdus iliacus_Redwing
Acrocephalus palustris_Marsh Warbler
Acrocephalus scirpaceus_Eurasian Reed Warbler
Curruca communis_Common Whitethroat
Sylvia borin_Garden Warbler
Sylvia atricapilla_Eurasian Blackcap
Phylloscopus collybita_Common Chiffchaff
Phylloscopus trochilus_Willow Warbler
Regulus regulus_Goldcrest
Periparus ater_Coal Tit
Cyanistes caeruleus_Eurasian Blue Tit
Parus major_Great Tit
Sitta europaea_Eurasian Nuthatch
Certhia brachydactyla_Short-toed Treecreeper
Garrulus glandarius_Eurasian Jay
Pica pica_Eurasian Magpie
Coloeus monedula_Western Jackdaw
Corvus frugilegus_Rook
Corvus corone_Carrion Crow
Sturnus vulgaris_Common Starling
Passer domesticus_House Sparrow
Passer montanus_Eurasian Tree Sparrow
Fringilla coelebs_Common Chaffinch
Chloris chloris_European Greenfinch
Carduelis carduelis_European Goldfinch
Linaria cannabina_Common Linnet
Emberiza schoeniclus_Common Reed Bunting
Gavia stellata_Red-throated Loon
Tachybaptus ruficollis_Little Grebe
Podiceps grisegena_Red-necked Grebe
Podiceps nigricollis_Black-necked Grebe
Fulmarus glacialis_Northern Fulmar
