Common Name,Scientific Name,Count,Threshold
GreatBustard,Otis tarda,4,0
BollesPigeon,Columba bollii,5,0.9200000166893005
LaurelPigeon,Columba junoniae,7,0.75
BalearicShearwater,Puffinus mauretanicus,7,0.9300000071525574
TrocazPigeon,Columba trocaz,8,0
BarbaryPartridge,Alectoris barbara,8,0.3499999940395355
BeardedVulture,Gypaetus barbatus,9,0.699999988079071
White-cheekedPintail,Anas bahamensis,9,0.6700000166893005
GreatWhitePelican,Pelecanus onocrotalus,9,0.2199999988079071
CaspianSnowcock,Tetraogallus caspius,9,0.17999999225139618
YelkouanShearwater,Puffinus yelkouan,9,0.22999998927116394
IraqBabbler,Argya altirostris,9,0.41999998688697815
AfricanSacredIbis,Threskiornis aethiopicus,9,0
Cream-coloredCourser,Cursorius cursor,9,0.6200000047683716
AzoresBullfinch,Pyrrhula murina,10,0.47999998927116394
BrownFishOwl,Ketupa zeylonensis,10,0.0
Thick-billedMurre,Uria lomvia,10,0.25999999046325684
PygmyCormorant,Microcarbo pygmaeus,10,0.11999999731779099
EasternImperialEagle,Aquila heliaca,11,0.1899999976158142
BonellisEagle,Aquila fasciata,11,0.699999988079071
Orange-cheekedWaxbill,Estrilda melpoda,11,0.5300000309944153
PallidHarrier,Circus macrourus,11,0.4699999988079071
GreaterRhea,Rhea americana,11,0.6399999856948853
DesertFinch,Rhodospiza obsoleta,11,0.3100000023841858
Band-rumpedStormPetrel,Hydrobates castro,12,0.3499999940395355
Red-tailedWheatear,Oenanthe chrysopygia,12,0.8999999761581421
FinschsWheatear,Oenanthe finschii,12,0.7599999904632568
Gyrfalcon,Falco rusticolus,12,0.6000000238418579
ReevessPheasant,Syrmaticus reevesii,12,0.38999998569488525
AmericanFlamingo,Phoenicopterus ruber,14,0.7300000190734863
Long-leggedBuzzard,Buteo rufinus,14,0.3799999952316284
MuscovyDuck,Cairina moschata,14,0.0
LeachsStormPetrel,Hydrobates leucorhous,14,0.08999999612569809
GoldenPheasant,Chrysolophus pictus,15,0.4599999785423279
Red-breastedGoose,Branta ruficollis,15,0.4699999988079071
Yellow-collaredLovebird,Agapornis personatus,15,0.25
GreaterScaup,Aythya marila,15,0.8299999833106995
KingEider,Somateria spectabilis,15,0.7200000286102295
DeadSeaSparrow,Passer moabiticus,15,0.6600000262260437
CinnamonTeal,Spatula cyanoptera,15,0
CaucasianSnowcock,Tetraogallus caucasicus,15,0.6299999952316284
FerruginousDuck,Aythya nyroca,15,0.6100000143051147
Black-wingedPratincole,Glareola nordmanni,16,0.8700000047683716
AfricanCollaredDove,Streptopelia roseogrisea,16,0.7900000214576721
SpanishImperialEagle,Aquila adalberti,16,0.44999998807907104
BlackLark,Melanocorypha yeltoniensis,17,0.800000011920929
SabinesGull,Xema sabini,17,0.7200000286102295
White-wingedLark,Alauda leucoptera,17,0.6200000047683716
ChileanFlamingo,Phoenicopterus chilensis,17,0.1899999976158142
SiberianAccentor,Prunella montanella,17,0.6700000166893005
BlackStork,Ciconia nigra,17,0.3199999928474426
LadyAmherstsPheasant,Chrysolophus amherstiae,18,0.949999988079071
LesserGreyShrike,Lanius minor,18,0.6000000238418579
