Common Name,Scientific Name,Count,Threshold
BeardedVulture,Gypaetus barbatus,9,0.23999999463558197
White-cheekedPintail,Anas bahamensis,9,0.009999999776482582
GreatWhitePelican,Pelecanus onocrotalus,9,0.04999999701976776
CaspianSnowcock,Tetraogallus caspius,9,0.25999999046325684
YelkouanShearwater,Puffinus yelkouan,9,0.07999999821186066
IraqBabbler,Argya altirostris,9,0.20999999344348907
AfricanSacredIbis,Threskiornis aethiopicus,9,0
Cream-coloredCourser,Cursorius cursor,9,0.3100000023841858
AzoresBullfinch,Pyrrhula murina,10,0.429999977350235
BrownFishOwl,Ketupa zeylonensis,10,0.0
Thick-billedMurre,Uria lomvia,10,0.1899999976158142
PygmyCormorant,Microcarbo pygmaeus,10,0.009999999776482582
EasternImperialEagle,Aquila heliaca,11,0.6100000143051147
BonellisEagle,Aquila fasciata,11,0.6800000071525574
Orange-cheekedWaxbill,Estrilda melpoda,11,0.6700000166893005
PallidHarrier,Circus macrourus,11,0.26999998092651367
GreaterRhea,Rhea americana,11,0.3400000035762787
DesertFinch,Rhodospiza obsoleta,11,0.07999999821186066
Band-rumpedStormPetrel,Hydrobates castro,12,0.11999999731779099
Red-tailedWheatear,Oenanthe chrysopygia,12,0.03999999910593033
FinschsWheatear,Oenanthe finschii,12,0.25999999046325684
Gyrfalcon,Falco rusticolus,12,0.03999999910593033
ReevessPheasant,Syrmaticus reevesii,12,0.03999999910593033
AmericanFlamingo,Phoenicopterus ruber,14,0.8799999952316284
Long-leggedBuzzard,Buteo rufinus,14,0.8700000047683716
MuscovyDuck,Cairina moschata,14,0.0
LeachsStormPetrel,Hydrobates leucorhous,14,0.3100000023841858
GoldenPheasant,Chrysolophus pictus,15,0.04999999701976776
Red-breastedGoose,Branta ruficollis,15,0.10999999940395355
Yellow-collaredLovebird,Agapornis personatus,15,0.17000000178813934
GreaterScaup,Aythya marila,15,0.41999998688697815
KingEider,Somateria spectabilis,15,0.6200000047683716
DeadSeaSparrow,Passer moabiticus,15,0.09999999403953552
CinnamonTeal,Spatula cyanoptera,15,0
CaucasianSnowcock,Tetraogallus caucasicus,15,0.3199999928474426
FerruginousDuck,Aythya nyroca,15,0.41999998688697815
Black-wingedPratincole,Glareola nordmanni,16,0.9399999976158142
AfricanCollaredDove,Streptopelia roseogrisea,16,0.10999999940395355
SpanishImperialEagle,Aquila adalberti,16,0.11999999731779099
BlackLark,Melanocorypha yeltoniensis,17,0.28999999165534973
SabinesGull,Xema sabini,17,0.28999999165534973
White-wingedLark,Alauda leucoptera,17,0.4899999797344208
ChileanFlamingo,Phoenicopterus chilensis,17,0.0
SiberianAccentor,Prunella montanella,17,0.3100000023841858
BlackStork,Ciconia nigra,17,0.9200000166893005
LadyAmherstsPheasant,Chrysolophus amherstiae,18,0.8799999952316284
LesserGreyShrike,Lanius minor,18,0.699999988079071
GreatRosefinch,Carpodacus rubicilla,18,0.1899999976158142
PallassGull,Larus ichthyaetus,18,0
IcelandGull,Larus glaucoides,18,0.6500000357627869
PaleRockfinch,Carpospiza brachydactyla,18,0.6600000262260437
ZinosPetrel,Pterodroma madeira,19,0.2800000011920929
HarlequinDuck,Histrionicus histrionicus,20,0.3999999761581421
Black-rumpedWaxbill,Estrilda troglodytes,20,0.07999999821186066
AmericanBlackDuck,Anas rubripes,20,0.07000000029802322
Smew,Mergellus albellus,20,0.44999998807907104
NorthernBaldIbis,Geronticus eremita,21,0.25
UplandGoose,Chloephaga picta,21,0.8199999928474426
Red-billedTropicbird,Phaethon aethereus,21,0.6399999856948853
BaroloShearwater,Puffinus baroli,21,0.35999998450279236
SnowyOwl,Bubo scandiacus,22,0.6100000143051147
WesternReefHeron,Egretta gularis,22,0.44999998807907104
BarrowsGoldeneye,Bucephala islandica,22,0.1899999976158142
UpchersWarbler,Hippolais languida,22,0.8299999833106995
